epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6551,1.12557,3.86701,1.04671,0.02962,0.37339,0.10432,0.06723,1.00252,3.92995,0.90648,0.00028179,0.00028179,0.00028179
2,28.3965,1.03505,2.81758,0.93545,0.04736,0.58228,0.24489,0.18233,1.03722,3.47737,0.9189,0.000515976,0.000515976,0.000515976
3,36.4114,1.061,1.90105,0.9509,0.47517,0.51484,0.50154,0.3672,0.9875,2.1514,0.93151,0.000692567,0.000692567,0.000692567
4,53.9296,0.97149,1.44836,0.9325,0.48408,0.68269,0.60145,0.4459,0.92598,1.40216,0.92397,0.000639027,0.000639027,0.000639027
5,71.7405,0.91462,1.19625,0.92616,0.59636,0.69919,0.67127,0.50593,0.85903,1.1625,0.91913,0.000549036,0.000549036,0.000549036
6,89.2073,0.88431,1.03803,0.9143,0.52945,0.74212,0.64758,0.48663,0.84538,1.12558,0.90713,0.000459045,0.000459045,0.000459045
7,106.456,0.85286,0.94167,0.90937,0.69053,0.76805,0.7473,0.5691,0.83515,0.94894,0.91083,0.000369054,0.000369054,0.000369054
8,123.773,0.84892,0.88917,0.90711,0.69963,0.78636,0.76194,0.5865,0.81923,0.923,0.89698,0.000279063,0.000279063,0.000279063
9,141.022,0.83064,0.84661,0.90291,0.67049,0.79611,0.77224,0.58814,0.81596,0.89669,0.8978,0.000189072,0.000189072,0.000189072
10,158.114,0.81854,0.80885,0.90223,0.70918,0.76905,0.78176,0.61043,0.78821,0.86189,0.88916,9.9081e-05,9.9081e-05,9.9081e-05
